id,url,fund_name,company,category_obj_id,rate,return_percent,risk,fee,net_assets,delete_flag
3746,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2014080102,YOURMIRAI ワールド･リゾート ,三井住友DS,38,2,-6.82,22.9,1.71,694,0
3747,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011110804,三菱UFJ 欧州ハイイールド債＜レアル＞(毎月) 『愛称：ユーロスター』,三菱UFJ国際,21,2,-11.24,22.91,1.8,847,0
3748,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013031901,ダイワ/フィデリティ北米株式ファンド,大和,41,2,-3.77,22.91,1.92,4507,0
3749,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013092609,iシェアーズ 先進国リートインデックス,ブラックロック,47,2,-6.07,22.93,0.43,384,0
3750,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=201307310E,マニュライフ･アジア経済圏・小型成長株 『愛称：グローイング・アジア』,マニュライフ,46,2,-3.94,22.94,1.98,643,0
3751,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013062806,三菱UFJ 米国高配当株式プラス〈H有〉毎月 『愛称：New アメリカン』,三菱UFJ国際,36,2,1.39,24.87,2.0,256,0
3752,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=201306280F,LM・オーストラリア高配当株ファンド(年2),L・メイソン,48,2,-7.81,24.89,1.83,23412,0
3753,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2000032406,朝日Nvest グローバルバリュー株オープン 『愛称：Avest-E』,朝日ライフ,32,2,-4.42,24.94,1.98,44201,0
3754,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2015121603,ハリスグローバルバリュー株F(年4回決算型),朝日ライフ,32,2,-4.45,24.99,1.98,699,0
3755,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011031002,世界好配当A･インフラ株式F(豪ドル),アセマネOne,38,2,-4.95,25.0,1.85,1432,0
3756,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2009102103,野村 北米REIT投信(レアルコース)毎月,野村,40,2,-13.22,25.0,1.64,1993,0
3757,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011081003,野村エマージング債券投信(ペソ)毎月,T&D,21,2,-0.74,25.04,1.72,5477,0
3758,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=1999121501,新世代成長株ファンド 『愛称：ダイワ大輔』,大和,50,2,2.23,25.05,1.67,11479,0
3759,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2006012001,世界資源株ファンド,三菱UFJ国際,32,2,-0.4,25.08,1.68,2442,0
3760,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2010120903,エマージング･ハイ･イールド･ボンド･レアル,日興,21,2,-12.58,25.11,1.85,7568,0
3761,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011041901,ダイワ/ハリス世界厳選株ファンド,大和,32,2,-4.3,25.13,1.98,5673,0
3762,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011081004,野村エマージング債券投信(ペソ)年2回,T&D,21,2,-0.82,25.14,1.72,1009,0
3763,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=200911170B,野村エマージング債券投信(ランド)年2回,T&D,21,2,-5.14,25.34,1.72,14,0
3764,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2015063006,豪州インフラ関連好配当資産F(年2回) 『愛称：インフラ･DE･豪(GO)年2回』,アセマネOne,26,2,-5.52,25.36,1.82,2569,0
3765,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011092104,三菱UFJ 新興国高利回り社債＜レアル＞(毎月) 『愛称：グローイング･スター』,三菱UFJ国際,21,2,-13.11,25.39,1.88,17146,0
3766,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2014042201,野村 米国ハイ･イールド債券(ペソ)毎月,野村,21,2,-2.27,25.4,1.67,1786,0
3767,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2009071002,日興ピムコ･Hインカム･S毎(ランド),日興,16,2,-4.36,25.47,1.76,649,0
3768,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2015063005,豪州インフラ関連好配当資産F(毎月) 『愛称：インフラ･DE･豪(GO)毎月』,アセマネOne,26,2,-5.75,25.47,1.82,9996,0
3769,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2016011409,アムンディ･欧州ハイ･イールド債券(リラ)＜年2＞,アムンディ,21,2,-6.77,25.49,1.78,1550,0
3770,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2014042202,野村 米国ハイ･イールド債券(ペソ)年2回,野村,21,2,-2.53,25.54,1.67,1277,0
3771,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=200911170A,野村エマージング債券投信(ランド)毎月,T&D,21,2,-5.14,25.58,1.72,180,0
